2016/1/31,東京,未勝利,4,未勝利,芝,1600,16, ゴールドエフォート,5,,４,96.27,9,63.9,5
2016/1/31,東京,新馬,5,新馬,芝,1800,1, デルマオシマ,10,,４,111.89,9,36.9,14
2016/1/31,東京,500万,6,500万下,ダ,2100,5, デバイスドライバー,4,,４,136.19,6,46.5,7
2016/1/31,東京,500万,7,500万下,ダ,1600,12, リムショット,15,,４,99.89,5,47.9,10
2016/1/31,東京,1000万,8,1000万下,ダ,1400,11, スールキートス,7,,４,85.98,6,66.8,2
2016/1/31,東京,500万,9,セントポ500*,芝,1800,6, ラグルーラ,3,,４,108.86,1,50.7,5
2016/1/31,東京,1600万,10,節分ＳＨ1600,芝,1600,2, マイネルメリエンダ,4,,４,93.92,3,60.6,6
2016/1/31,東京,Ｇ３,11,根岸ＳG3,ダ,1400,9, タガノトネール,2,,４,84.24,4,59.5,3
2016/1/31,東京,1000万,12,1000万下,芝,1800,4, エニグマバリエート,4,,４,108.13,3,69.4,2
2016/1/31,中京,未勝利,1,未勝利,ダ,1800,10, キクノシュペール,3,,４,116.55,1,72.5,2
2016/1/31,中京,未勝利,2,未勝利,ダ,1400,1, ドンボラーレ,7,,４,88.63,7,55.7,6
2016/1/31,中京,500万,3,500万下・牝,ダ,1800,2, ハギノセゾン,7,,４,116.03,6,43.7,7
2016/1/31,中京,未勝利,4,障害未勝利,芝,3000,5, クラウンフレイム,9,,４,206.07,14,,
2016/1/31,中京,未勝利,5,障害未勝利,芝,3000,12, モリトブイコール,10,,４,203.75,6,,
2016/1/31,中京,500万,6,500万下,ダ,1200,10, ウエスタンユーノー,6,,４,73.69,12,46.6,10
2016/1/31,中京,未勝利,7,未勝利,芝,2000,9, ヨカグラ,2,,４,123.71,1,82.3,1
2016/1/31,中京,500万,8,500万下・若,ダ,1800,5, レッドアライヴ,3,,４,115.14,1,75.9,1
2016/1/31,中京,500万,9,500万下,芝,1400,9, テンテマリ,11,,４,83.94,16,44.9,12
2016/1/31,中京,500万,10,ごぎょう500*,ダ,1200,7, ワンダーリーデル,3,,４,73.08,4,68.1,4
2016/1/31,中京,1000万,11,中京スポ1000,芝,1600,5, メイクアップ,1,,４,95.57,1,80.9,1
2016/1/31,中京,500万,12,熱田特別500,芝,2000,8, チャップリン,5,,４,124.25,5,55.6,5
2016/1/31,京都,未勝利,1,未勝利・牝,ダ,1800,2, ゴールデンティアラ,14,,４,117.81,15,40.3,13
2016/1/31,京都,未勝利,2,未勝利,ダ,1200,4, ヒデサンエース,11,,４,74.50,12,40.2,13
2016/1/31,京都,未勝利,3,未勝利,ダ,1800,8, スノードルフィン,4,,４,114.78,2,70.1,2
